SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67069995, -0.03710000, 0.74070001, 0.00100000, -0.00100000, 0.02100000, 0.01800000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67089999, -0.03660000, 0.74049997, 0.00100000, -0.00200000, 0.03200000, 0.01600000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67109996, -0.03610000, 0.74039996, 0.00100000, -0.01300000, 0.03600000, 0.00900000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67129999, -0.03550000, 0.74030000, 0.00100000, -0.02300000, 0.03600000, 0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67149997, -0.03500000, 0.74009997, 0.00100000, -0.02400000, 0.04200000, 0.00600000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67170000, -0.03440000, 0.73989999, 0.00110000, -0.01800000, 0.02100000, 0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67199999, -0.03390000, 0.73960000, 0.00130000, -0.00200000, -0.00700000, -0.00900000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67229998, -0.03340000, 0.73939997, 0.00150000, 0.01400000, -0.03100000, -0.01500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67269999, -0.03280000, 0.73909998, 0.00160000, 0.01900000, -0.04100000, -0.01100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67309999, -0.03220000, 0.73879999, 0.00160000, 0.00800000, -0.02500000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67339998, -0.03140000, 0.73850000, 0.00150000, -0.00400000, 0.02000000, 0.00900000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 11, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67379999, -0.03060000, 0.73820001, 0.00140000, -0.01200000, 0.04600000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 12, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67409998, -0.02990000, 0.73799998, 0.00120000, -0.01300000, 0.06500001, -0.00400000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67439997, -0.02910000, 0.73769999, 0.00130000, -0.00200000, 0.08200000, -0.01300000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, -0.67479998, -0.02850000, 0.73729998, 0.00150000, 0.00600000, 0.07400000, -0.02600000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
