SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.1200, 12, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.82760000, -0.51400000, -0.19090000, -0.11960000, -0.00200000, -0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1500, 15, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80969995, -0.57779998, 0.03610000, -0.09510000, 0.00900000, -0.00200000, -0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1600, 16, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80969995, -0.57779998, 0.03600000, -0.09510000, 0.01300000, -0.00200000, -0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1700, 17, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80969995, -0.57779998, 0.03590000, -0.09530000, 0.01300000, -0.00100000, -0.00400000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 13, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.82760000, -0.51400000, -0.19090000, -0.11960000, 0.00000000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 14, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.82760000, -0.51400000, -0.19090000, -0.11960000, -0.00100000, -0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1800, 18, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80969995, -0.57779998, 0.03570000, -0.09530000, 0.00500000, 0.00000000, 0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.1900, 19, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80979997, -0.57769996, 0.03560000, -0.09540000, -0.00400000, 0.00200000, 0.00200000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
4, 0.2000, 20, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.80979997, -0.57769996, 0.03540000, -0.09540000, -0.00700000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 15, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.82749999, -0.51410002, -0.19090000, -0.11960000, -0.00100000, -0.00100000, 0.00000000, 0.00000000, 0.00000000, 0.00000000, 0.00000000
