,loss,accuracy,categorical_accuracy,val_loss,val_accuracy,val_categorical_accuracy
0,0.005974777974188328,0.9439991116523743,0.9439991116523743,0.0007827296503819525,0.9875315427780151,0.9875315427780151
1,0.0018219344783574343,0.9716840982437134,0.9716840982437134,0.0016121924854815006,0.9928751587867737,0.9928751587867737
2,0.0015174895524978638,0.9750612378120422,0.9750612378120422,0.000492127554025501,0.992281436920166,0.992281436920166
3,0.001225599437020719,0.9756178855895996,0.9756178855895996,0.00032309972448274493,0.9882737398147583,0.9882737398147583
4,0.0010634140344336629,0.9765827655792236,0.9765827655792236,0.00025960325729101896,0.9897580742835999,0.9897580742835999
5,0.0009732969338074327,0.9774734377861023,0.9774734377861023,0.00020936811051797122,0.9933204650878906,0.9933204650878906
6,0.0008729834225960076,0.9781414866447449,0.9781414866447449,0.00040643796091899276,0.9878284335136414,0.9878284335136414
7,0.0007662763819098473,0.9784383773803711,0.9784383773803711,6.659403152298182e-05,0.992281436920166,0.992281436920166
8,0.0006580005283467472,0.9789208173751831,0.9789208173751831,0.00020986895833630115,0.9942110776901245,0.9942110776901245
9,0.0005872705369256437,0.9807021617889404,0.9807021617889404,0.00015877513214945793,0.990648627281189,0.990648627281189
10,0.0005110427737236023,0.9805166125297546,0.9805166125297546,6.466126797022298e-05,0.9958438277244568,0.9958438277244568
11,0.00043392920633777976,0.9801454544067383,0.9801454544067383,8.799721399554983e-05,0.9956954121589661,0.9956954121589661
12,0.0003848398628178984,0.9824463725090027,0.9824463725090027,9.834489173954353e-05,0.9971797466278076,0.9971797466278076
13,0.00033068496850319207,0.9820010662078857,0.9820010662078857,5.531224451260641e-05,0.9970313310623169,0.9970313310623169
14,0.00028596288757398725,0.9818897247314453,0.9818897247314453,7.368346268776804e-05,0.9940626621246338,0.9940626621246338
15,0.0002788022975437343,0.9821494817733765,0.9821494817733765,6.478298746515065e-05,0.9951016902923584,0.9951016902923584
16,0.0002550340723246336,0.9823721647262573,0.9823721647262573,8.943538705352694e-05,0.9965860247612,0.9965860247612
17,0.00024286367988679558,0.9812959432601929,0.9812959432601929,5.732560020987876e-05,0.9930235743522644,0.9930235743522644
18,0.00024355952336918563,0.9814814925193787,0.9814814925193787,4.7668872866779566e-05,0.9937657713890076,0.9937657713890076
19,0.0002412819885648787,0.9799228310585022,0.9799228310585022,4.311283919378184e-05,0.996140718460083,0.996140718460083
20,0.00023815262829884887,0.9818525910377502,0.9818525910377502,2.9754713978036307e-05,0.9973281621932983,0.9973281621932983
21,0.0002282362838741392,0.9814072847366333,0.9814072847366333,0.0001469702838221565,0.9924298524856567,0.9924298524856567
22,0.00024060485884547234,0.9798856973648071,0.9798856973648071,6.45965410512872e-05,0.9965860247612,0.9965860247612
23,0.00023061998945195228,0.9829288125038147,0.9829288125038147,3.367879253346473e-05,0.9982187747955322,0.9982187747955322
24,0.0002232955303043127,0.9814814925193787,0.9814814925193787,7.666369492653757e-05,0.9979219436645508,0.9979219436645508
25,0.0002268599928356707,0.9809990525245667,0.9809990525245667,4.394847564981319e-05,0.9976250529289246,0.9976250529289246
26,0.0002213229308836162,0.9810361266136169,0.9810361266136169,5.983023947919719e-05,0.9910939335823059,0.9910939335823059
27,0.00023008242715150118,0.9815928339958191,0.9815928339958191,2.4938239221228287e-05,0.9982187747955322,0.9982187747955322
28,0.0002180941664846614,0.9808877110481262,0.9808877110481262,3.082598414039239e-05,0.9971797466278076,0.9971797466278076
29,0.0002239841705886647,0.9812959432601929,0.9812959432601929,3.2293799449689686e-05,0.9958438277244568,0.9958438277244568
30,0.00022392025857698172,0.9804794788360596,0.9804794788360596,4.9675993068376556e-05,0.9970313310623169,0.9970313310623169
31,0.0002182944444939494,0.9812588095664978,0.9812588095664978,4.962640014127828e-05,0.9943594932556152,0.9943594932556152
32,0.00021298167121130973,0.9826690554618835,0.9826690554618835,6.637166370637715e-05,0.9955469965934753,0.9955469965934753
33,0.00021892217046115547,0.9812959432601929,0.9812959432601929,4.642384737962857e-05,0.9976250529289246,0.9976250529289246
34,0.00021453967201523483,0.9812216758728027,0.9812216758728027,3.2734442356741056e-05,0.9974766373634338,0.9974766373634338
35,0.00021626533998642117,0.9816670417785645,0.9816670417785645,4.224754229653627e-05,0.9976250529289246,0.9976250529289246
36,0.00021451825159601867,0.9812588095664978,0.9812588095664978,2.0207631678204052e-05,0.9956954121589661,0.9956954121589661
37,0.00020851950102951378,0.9813701510429382,0.9813701510429382,2.5775305402930826e-05,0.9956954121589661,0.9956954121589661
38,0.00021318683866411448,0.9813701510429382,0.9813701510429382,2.815142579493113e-05,0.9968828558921814,0.9968828558921814
39,0.00021454009402077645,0.9814072847366333,0.9814072847366333,3.017904055013787e-05,0.9955469965934753,0.9955469965934753
40,0.00021365219436120242,0.9817783832550049,0.9817783832550049,2.3351718482444994e-05,0.9952501058578491,0.9952501058578491
41,0.00020907452562823892,0.9817041754722595,0.9817041754722595,2.7299343855702318e-05,0.9958438277244568,0.9958438277244568
42,0.00020952612976543605,0.9815928339958191,0.9815928339958191,1.8126853319699876e-05,0.9971797466278076,0.9971797466278076
43,0.00021124388149473816,0.9814814925193787,0.9814814925193787,1.914980384754017e-05,0.9962891340255737,0.9962891340255737
44,0.00021135268616490066,0.9819267988204956,0.9819267988204956,8.663709013490006e-05,0.9924298524856567,0.9924298524856567
45,0.00021701031073462218,0.9806278944015503,0.9806278944015503,2.280345870531164e-05,0.996140718460083,0.996140718460083
46,0.0002061758132185787,0.9805166125297546,0.9805166125297546,6.426467734854668e-05,0.9951016902923584,0.9951016902923584
47,0.00021094788098707795,0.9802939295768738,0.9802939295768738,7.91808997746557e-05,0.9943594932556152,0.9943594932556152
48,0.0002143277379218489,0.9819267988204956,0.9819267988204956,2.2808733774581924e-05,0.9980703592300415,0.9980703592300415
49,0.0002034730277955532,0.9814443588256836,0.9814443588256836,1.7593823940842412e-05,0.9985156655311584,0.9985156655311584
50,0.000205953125259839,0.9819267988204956,0.9819267988204956,4.0476392314303666e-05,0.9979219436645508,0.9979219436645508
51,0.00020834090537391603,0.9812216758728027,0.9812216758728027,2.8904098144266754e-05,0.9933204650878906,0.9933204650878906
52,0.00020340568153187633,0.982520580291748,0.982520580291748,1.7604383174329996e-05,0.9964376091957092,0.9964376091957092
53,0.00020426909031812102,0.9811846017837524,0.9811846017837524,2.815553489199374e-05,0.9951016902923584,0.9951016902923584
54,0.00020995325758121908,0.9813701510429382,0.9813701510429382,5.548231638385914e-05,0.9964376091957092,0.9964376091957092
55,0.00020323596254456788,0.9817412495613098,0.9817412495613098,1.704489841358736e-05,0.9962891340255737,0.9962891340255737
56,0.0002117009717039764,0.9812216758728027,0.9812216758728027,3.153756551910192e-05,0.9948047995567322,0.9948047995567322
57,0.0002076885139103979,0.9824092388153076,0.9824092388153076,2.723672332649585e-05,0.9959923028945923,0.9959923028945923
58,0.00020659696019720286,0.9824835062026978,0.9824835062026978,2.7360942112863995e-05,0.9949532151222229,0.9949532151222229
59,0.0002059819089481607,0.9828174710273743,0.9828174710273743,2.1072750314488076e-05,0.9976250529289246,0.9976250529289246
60,0.00020127641619183123,0.9818154573440552,0.9818154573440552,3.493571057333611e-05,0.9983672499656677,0.9983672499656677
61,0.00020409870194271207,0.9818525910377502,0.9818525910377502,2.0343466530903243e-05,0.9967344403266907,0.9967344403266907
62,0.0002041070838458836,0.9809619188308716,0.9809619188308716,2.226973265351262e-05,0.9977734684944153,0.9977734684944153
63,0.00020347561803646386,0.9807763695716858,0.9807763695716858,4.674059528042562e-05,0.992281436920166,0.992281436920166
64,0.0002036004443652928,0.9816299080848694,0.9816299080848694,4.298203930375166e-05,0.9970313310623169,0.9970313310623169
65,0.0002014049532590434,0.9813330173492432,0.9813330173492432,3.3636417356319726e-05,0.9949532151222229,0.9949532151222229
66,0.00020136256352998316,0.9816670417785645,0.9816670417785645,3.997662497567944e-05,0.9977734684944153,0.9977734684944153
67,0.00019922158389817923,0.9830401539802551,0.9830401539802551,1.7197098713950254e-05,0.9980703592300415,0.9980703592300415
68,0.00020645705808419734,0.9817041754722595,0.9817041754722595,9.3410890258383e-05,0.9959923028945923,0.9959923028945923
69,0.00021671100694220513,0.9813701510429382,0.9813701510429382,4.598021405399777e-05,0.9958438277244568,0.9958438277244568
70,0.00019995254115201533,0.9817041754722595,0.9817041754722595,2.061866871372331e-05,0.9971797466278076,0.9971797466278076
71,0.0001963364047696814,0.9814814925193787,0.9814814925193787,2.3338723622146063e-05,0.9974766373634338,0.9974766373634338
72,0.00020190661598462611,0.9818897247314453,0.9818897247314453,2.1564379494520836e-05,0.9976250529289246,0.9976250529289246
73,0.00020200344442855567,0.9817041754722595,0.9817041754722595,2.0210603906889446e-05,0.9965860247612,0.9965860247612
74,0.00019836390856653452,0.9831514954566956,0.9831514954566956,3.2078496587928385e-05,0.9965860247612,0.9965860247612
75,0.0002000143431359902,0.9822236895561218,0.9822236895561218,3.6127687053522095e-05,0.9953985214233398,0.9953985214233398
76,0.00019910010450985283,0.9809619188308716,0.9809619188308716,9.087628313864116e-06,0.9985156655311584,0.9985156655311584
77,0.00020148292242083699,0.9815928339958191,0.9815928339958191,2.3199316274258308e-05,0.9976250529289246,0.9976250529289246
78,0.0002023612760240212,0.9824092388153076,0.9824092388153076,4.323930261307396e-05,0.9980703592300415,0.9980703592300415
79,0.00020130314806010574,0.9824092388153076,0.9824092388153076,3.97791009163484e-05,0.9979219436645508,0.9979219436645508
80,0.00020113796927034855,0.9828174710273743,0.9828174710273743,3.0114417313598096e-05,0.9986640810966492,0.9986640810966492
81,0.0002055661752820015,0.9822236895561218,0.9822236895561218,2.3417862394126132e-05,0.9956954121589661,0.9956954121589661
82,0.00020101177506148815,0.9818154573440552,0.9818154573440552,3.7368368793977425e-05,0.9953985214233398,0.9953985214233398
83,0.00020477628277149051,0.9826690554618835,0.9826690554618835,9.608133950678166e-06,0.9988125562667847,0.9988125562667847
84,0.00019829593657050282,0.981555700302124,0.981555700302124,4.7336045099655166e-05,0.9979219436645508,0.9979219436645508
85,0.00020003072859253734,0.9825577139854431,0.9825577139854431,7.544259278802201e-05,0.9959923028945923,0.9959923028945923
86,0.00020753906574100256,0.9811846017837524,0.9811846017837524,3.578971518436447e-05,0.9988125562667847,0.9988125562667847
87,0.00019710786000359803,0.9824092388153076,0.9824092388153076,2.774503627733793e-05,0.9991093873977661,0.9991093873977661
88,0.00020139804109930992,0.9804423451423645,0.9804423451423645,4.442702993401326e-05,0.9974766373634338,0.9974766373634338
89,0.0001989713782677427,0.9820752739906311,0.9820752739906311,1.875726411526557e-05,0.9986640810966492,0.9986640810966492
90,0.00020128361938986927,0.9794403910636902,0.9794403910636902,2.9158305551391095e-05,0.9976250529289246,0.9976250529289246
91,0.00019898473692592233,0.9816670417785645,0.9816670417785645,2.5290384655818343e-05,0.9980703592300415,0.9980703592300415
92,0.00020138318359386176,0.9807392358779907,0.9807392358779907,2.2631265892414376e-05,0.9980703592300415,0.9980703592300415
93,0.00019701477140188217,0.9810361266136169,0.9810361266136169,2.7746091291191988e-05,0.9988125562667847,0.9988125562667847
94,0.00019985235121566802,0.9833741784095764,0.9833741784095764,1.5354788047261536e-05,0.9971797466278076,0.9971797466278076
95,0.00020082094124518335,0.9820752739906311,0.9820752739906311,2.3340853658737615e-05,0.9951016902923584,0.9951016902923584
96,0.00019873767450917512,0.9809247851371765,0.9809247851371765,1.9627672372735105e-05,0.9964376091957092,0.9964376091957092
97,0.00019545236136764288,0.9828546047210693,0.9828546047210693,2.0348670659586787e-05,0.9980703592300415,0.9980703592300415
98,0.00020106611191295087,0.982520580291748,0.982520580291748,7.297348929569125e-05,0.9943594932556152,0.9943594932556152
99,0.00020089813915546983,0.9819639325141907,0.9819639325141907,4.891882781521417e-05,0.9949532151222229,0.9949532151222229
