SensorId, QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g)
1.0,0.82749999,-0.51410002,-0.1908,-0.11979999,0.0,-0.001,0.001
1.0,0.82749999,-0.51410002,-0.1908,-0.11979999,0.002,0.0,0.0
1.0,0.82749999,-0.51410002,-0.1908,-0.11979999,0.001,-0.001,0.001
1.0,0.82749999,-0.51410002,-0.1908,-0.11979999,0.0,-0.001,0.001
1.0,0.82749999,-0.514,-0.1908,-0.11979999,0.0,-0.001,0.0
1.0,0.8276,-0.514,-0.1908,-0.11979999,-0.001,-0.002,0.001
1.0,0.8276,-0.514,-0.1909,-0.11979999,-0.001,-0.002,0.001
1.0,0.8276,-0.514,-0.1909,-0.11979999,-0.001,0.0,0.0
1.0,0.8276,-0.514,-0.1909,-0.1197,0.0,-0.001,0.0
1.0,0.8276,-0.514,-0.1909,-0.1197,0.0,-0.001,0.0
1.0,0.8276,-0.514,-0.1908,-0.1197,0.003,0.0,0.0
1.0,0.8276,-0.514,-0.1908,-0.1197,0.001,-0.002,0.0
1.0,0.8276,-0.514,-0.1909,-0.1196,-0.002,-0.002,0.0
1.0,0.8276,-0.514,-0.1909,-0.1196,0.0,-0.001,0.0
1.0,0.8276,-0.514,-0.1909,-0.1196,-0.001,-0.002,0.0
1.0,0.82749999,-0.51410002,-0.1909,-0.1196,-0.001,-0.001,0.0
1.0,0.82749999,-0.51410002,-0.1909,-0.1196,0.001,0.0,0.0
1.0,0.82749999,-0.51410002,-0.1909,-0.1196,0.002,0.0,0.0
1.0,0.82749999,-0.51410002,-0.1909,-0.1195,0.003,-0.001,0.0
1.0,0.82749999,-0.51410002,-0.1909,-0.1195,0.0,0.0,0.0
1.0,0.82749999,-0.51410002,-0.191,-0.1195,0.0,-0.001,0.001
1.0,0.82749999,-0.51410002,-0.191,-0.1195,-0.002,-0.002,0.001
1.0,0.82749999,-0.51410002,-0.191,-0.1195,-0.002,-0.001,0.0
1.0,0.82749999,-0.51410002,-0.191,-0.11939999,-0.001,-0.002,0.0
1.0,0.82749999,-0.51410002,-0.1911,-0.11939999,-0.001,-0.002,0.001
1.0,0.82749999,-0.514,-0.1911,-0.11939999,0.0,-0.001,0.0
1.0,0.82749999,-0.51410002,-0.191,-0.11939999,0.004,-0.001,0.0
1.0,0.82749999,-0.51410002,-0.1911,-0.1193,0.001,-0.001,0.001
1.0,0.82749999,-0.51410002,-0.1911,-0.1193,0.001,-0.001,0.0
1.0,0.82749999,-0.51410002,-0.1911,-0.1193,-0.001,-0.002,0.0
1.0,0.82749999,-0.51410002,-0.1911,-0.1192,0.0,-0.001,0.0
1.0,0.82749999,-0.51410002,-0.1911,-0.1192,-0.001,-0.002,0.0
1.0,0.82749999,-0.514,-0.19119999,-0.1192,-0.004,-0.001,0.001
1.0,0.82749999,-0.514,-0.19119999,-0.1192,-0.001,-0.001,0.0
1.0,0.8276,-0.514,-0.19119999,-0.1192,0.0,-0.001,0.001
1.0,0.8276,-0.514,-0.19119999,-0.1192,0.003,-0.001,0.0
1.0,0.8276,-0.514,-0.19119999,-0.1192,0.005,-0.002,0.0
1.0,0.8276,-0.514,-0.19119999,-0.1192,0.001,-0.002,0.0
1.0,0.8276,-0.514,-0.19119999,-0.1191,0.003,0.0,0.0
1.0,0.8276,-0.514,-0.19119999,-0.1191,0.001,-0.002,0.0
1.0,0.8276,-0.514,-0.19129999,-0.1191,-0.003,-0.001,0.001
1.0,0.8276,-0.51389998,-0.19129999,-0.119,-0.003,-0.004,0.002
1.0,0.8276,-0.51389998,-0.19129999,-0.119,-0.002,-0.001,0.001
1.0,0.8276,-0.51389998,-0.19139999,-0.119,-0.003,-0.002,0.0
1.0,0.8276,-0.51389998,-0.19139999,-0.119,-0.002,-0.002,0.0
1.0,0.8276,-0.51389998,-0.19139999,-0.119,-0.001,0.0,0.0
1.0,0.8276,-0.514,-0.19139999,-0.119,0.003,0.0,-0.001
1.0,0.8276,-0.51389998,-0.19129999,-0.119,0.001,-0.002,0.0
1.0,0.8276,-0.51389998,-0.19139999,-0.119,0.0,-0.001,0.0
1.0,0.8276,-0.51389998,-0.19139999,-0.119,0.001,-0.001,0.001
1.0,0.8276,-0.51389998,-0.19139999,-0.119,0.0,-0.002,0.001
1.0,0.8276,-0.51389998,-0.19129999,-0.11889999,0.001,-0.001,0.0
1.0,0.8276,-0.51389998,-0.19129999,-0.11889999,0.0,0.0,0.001
1.0,0.82769996,-0.51389998,-0.19139999,-0.11889999,-0.003,-0.001,0.001
1.0,0.82769996,-0.51389998,-0.19139999,-0.11889999,0.001,0.0,-0.001
1.0,0.82769996,-0.51379997,-0.19139999,-0.11889999,-0.001,-0.002,0.001
1.0,0.82769996,-0.51379997,-0.19139999,-0.11889999,-0.001,-0.001,0.001
1.0,0.82769996,-0.51379997,-0.19139999,-0.11889999,0.0,-0.002,0.001
1.0,0.82769996,-0.51379997,-0.19129999,-0.11889999,0.0,-0.002,0.001
1.0,0.82769996,-0.51379997,-0.19129999,-0.11889999,0.002,-0.001,0.0
1.0,0.82769996,-0.51379997,-0.19119999,-0.11889999,0.005,-0.001,0.0
1.0,0.82769996,-0.51379997,-0.19129999,-0.11889999,0.0,-0.001,0.0
1.0,0.82769996,-0.51379997,-0.19129999,-0.11889999,0.0,-0.002,0.0
1.0,0.82769996,-0.51379997,-0.19129999,-0.11889999,0.0,-0.001,0.001
1.0,0.82769996,-0.51379997,-0.19129999,-0.11889999,0.0,-0.001,0.0
1.0,0.82769996,-0.51379997,-0.19129999,-0.11889999,-0.001,-0.002,0.0
1.0,0.82779998,-0.51370001,-0.19129999,-0.11889999,-0.003,-0.001,0.0
1.0,0.82779998,-0.51370001,-0.19129999,-0.11889999,0.0,-0.001,0.0
1.0,0.82779998,-0.51370001,-0.19129999,-0.11889999,0.001,-0.001,0.0
1.0,0.82779998,-0.51370001,-0.19129999,-0.11889999,0.0,-0.002,0.0
1.0,0.82779998,-0.51370001,-0.19119999,-0.11889999,0.002,-0.001,0.0
1.0,0.82779998,-0.51379997,-0.19119999,-0.11889999,0.003,-0.001,0.0
