SensorId, QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g)
4.0,0.80979997,-0.57769996,0.0363,-0.0949,0.005,-0.001,-0.003
4.0,0.80979997,-0.57769996,0.0363,-0.095,0.004,0.0,0.001
4.0,0.80979997,-0.57769996,0.0363,-0.0951,0.0,0.0,0.001
4.0,0.80979997,-0.57769996,0.0362,-0.0951,-0.002,0.001,0.001
4.0,0.80979997,-0.57769996,0.0362,-0.095,-0.002,0.001,-0.004
4.0,0.80979997,-0.57769996,0.0362,-0.095,0.003,-0.001,-0.004
4.0,0.80979997,-0.57769996,0.0362,-0.095,0.006,-0.002,0.0
4.0,0.80979997,-0.57769996,0.0361,-0.0951,0.005,-0.002,-0.001
4.0,0.80979997,-0.57769996,0.0361,-0.09519999,0.005,-0.001,0.0
4.0,0.80969995,-0.57769996,0.036,-0.0953,0.002,0.0,-0.001
4.0,0.80969995,-0.57769996,0.036,-0.0953,0.0,0.0,0.0
4.0,0.80979997,-0.57769996,0.036,-0.0953,-0.002,0.0,0.004
4.0,0.80979997,-0.57769996,0.0361,-0.09519999,-0.004,0.0,-0.002
4.0,0.80979997,-0.57769996,0.0361,-0.09519999,0.0,0.0,-0.008
4.0,0.80969995,-0.57779998,0.0362,-0.0951,0.005,0.0,-0.008
4.0,0.80969995,-0.57779998,0.0361,-0.0951,0.009,-0.002,-0.007
4.0,0.80969995,-0.57779998,0.036,-0.0951,0.013,-0.002,-0.007
4.0,0.80969995,-0.57779998,0.0359,-0.0953,0.013,-0.001,-0.004
4.0,0.80969995,-0.57779998,0.0357,-0.0953,0.005,0.0,0.001
4.0,0.80979997,-0.57769996,0.0356,-0.0954,-0.004,0.002,0.002
4.0,0.80979997,-0.57769996,0.0354,-0.0954,-0.007,0.0,0.0
4.0,0.80979997,-0.57769996,0.0353,-0.0955,-0.002,-0.001,-0.001
4.0,0.80979997,-0.5776,0.0351,-0.0955,0.0,0.0,0.001
4.0,0.80989999,-0.5776,0.035,-0.0955,-0.002,-0.001,0.0
4.0,0.80989999,-0.5776,0.0349,-0.09559999,0.0,-0.001,-0.003
4.0,0.80979997,-0.5776,0.0347,-0.09559999,0.002,0.0,-0.002
4.0,0.80979997,-0.5776,0.0347,-0.0957,0.003,0.0,0.0
4.0,0.80989999,-0.5776,0.0347,-0.0957,0.001,0.001,0.0
4.0,0.80989999,-0.5776,0.0347,-0.09559999,-0.001,0.0,-0.004
4.0,0.80989999,-0.5776,0.0347,-0.09559999,0.001,0.0,-0.005
4.0,0.80989999,-0.5776,0.0347,-0.0955,-0.002,0.001,-0.003
4.0,0.80989999,-0.5776,0.0346,-0.0955,0.0,0.0,-0.004
4.0,0.80989999,-0.5776,0.0344,-0.0955,0.003,-0.002,-0.002
4.0,0.80989999,-0.5776,0.0342,-0.09559999,0.004,-0.001,-0.002
4.0,0.80989999,-0.5776,0.034,-0.0957,0.006,0.0,0.0
4.0,0.80989999,-0.5776,0.034,-0.0957,0.0,-0.001,0.0
4.0,0.80989999,-0.5776,0.034,-0.0957,0.0,-0.001,-0.005
4.0,0.80989999,-0.5776,0.034,-0.0958,0.005,-0.001,-0.001
4.0,0.80989999,-0.5776,0.0341,-0.0958,0.001,0.0,0.0
4.0,0.80989999,-0.57749999,0.0342,-0.0957,-0.002,0.001,0.003
4.0,0.80989999,-0.57749999,0.0342,-0.0957,-0.004,0.003,0.002
4.0,0.81,-0.57749999,0.0342,-0.09559999,-0.004,0.003,0.001
4.0,0.81,-0.57749999,0.0341,-0.0955,-0.004,0.0,-0.001
4.0,0.81,-0.57749999,0.0341,-0.0955,0.0,-0.001,-0.007
4.0,0.81,-0.57749999,0.034,-0.09559999,0.002,-0.002,-0.008
4.0,0.81,-0.57749999,0.0338,-0.09559999,0.004,-0.001,-0.006
4.0,0.81,-0.57749999,0.0338,-0.0957,0.003,0.0,-0.001
4.0,0.81,-0.57739997,0.0337,-0.0957,0.0,0.0,0.0
4.0,0.81,-0.57739997,0.0338,-0.09559999,-0.001,0.001,-0.001
4.0,0.81,-0.57739997,0.0338,-0.09559999,0.0,0.0,-0.002
4.0,0.81,-0.57739997,0.0338,-0.09559999,0.004,0.0,0.001
4.0,0.81,-0.57739997,0.0339,-0.09559999,0.002,0.001,0.0
4.0,0.81009996,-0.57739997,0.0339,-0.09559999,0.0,-0.001,-0.006
4.0,0.81,-0.57739997,0.0338,-0.0957,0.001,0.0,-0.002
4.0,0.81009996,-0.57739997,0.0338,-0.0957,-0.003,0.001,0.0
4.0,0.81009996,-0.57739997,0.0337,-0.09559999,-0.002,0.0,0.0
4.0,0.81009996,-0.57730001,0.0336,-0.09559999,0.0,0.0,0.0
4.0,0.81009996,-0.57730001,0.0336,-0.09559999,0.0,0.0,-0.003
4.0,0.81009996,-0.57730001,0.0336,-0.09559999,0.006,-0.001,-0.003
4.0,0.81009996,-0.57730001,0.0337,-0.0957,0.008,0.0,0.0
4.0,0.81009996,-0.57730001,0.0337,-0.0957,0.004,0.0,0.0
4.0,0.81009996,-0.57730001,0.0338,-0.0957,0.0,0.0,-0.003
4.0,0.81009996,-0.57730001,0.0338,-0.0957,0.0,0.0,-0.002
4.0,0.81009996,-0.57730001,0.0338,-0.0957,-0.002,0.0,-0.001
4.0,0.81009996,-0.57730001,0.0338,-0.0957,-0.003,0.0,0.002
4.0,0.81019998,-0.57730001,0.0338,-0.09559999,-0.004,0.0,-0.003
4.0,0.81009996,-0.57730001,0.0338,-0.09559999,0.002,-0.001,-0.004
4.0,0.81019998,-0.5772,0.0337,-0.0957,0.004,0.0,-0.002
4.0,0.81019998,-0.5772,0.0336,-0.0957,0.004,-0.001,0.0
4.0,0.81019998,-0.5772,0.0336,-0.0958,0.005,-0.001,0.0
4.0,0.81009996,-0.5772,0.0336,-0.0959,0.005,-0.001,-0.001
4.0,0.81009996,-0.5772,0.0336,-0.0959,0.001,0.0,0.001
4.0,0.81009996,-0.5772,0.0337,-0.0959,-0.003,0.001,0.001
4.0,0.81019998,-0.5772,0.0339,-0.0958,-0.004,0.0,-0.003
4.0,0.81009996,-0.5772,0.0339,-0.0958,-0.002,0.001,-0.004
4.0,0.81009996,-0.57730001,0.034,-0.0957,0.001,0.001,-0.003
4.0,0.81009996,-0.57730001,0.0339,-0.0958,0.003,0.0,-0.005
4.0,0.81009996,-0.57730001,0.0338,-0.0958,0.004,-0.001,-0.004
4.0,0.81009996,-0.57730001,0.0337,-0.0959,0.005,-0.001,0.0
4.0,0.81009996,-0.57730001,0.0336,-0.0959,0.001,0.0,0.001
4.0,0.81009996,-0.5772,0.0336,-0.096,0.002,0.0,-0.001
4.0,0.81009996,-0.5772,0.0336,-0.096,0.003,-0.001,-0.002
4.0,0.81009996,-0.5772,0.0336,-0.096,0.002,-0.002,-0.001
4.0,0.81009996,-0.5772,0.0336,-0.0961,0.003,0.0,-0.003
4.0,0.81009996,-0.5772,0.0337,-0.0961,0.005,-0.001,-0.004
4.0,0.81009996,-0.5772,0.0336,-0.0962,0.001,0.002,0.0
4.0,0.81009996,-0.5772,0.0336,-0.0961,-0.005,0.0,0.0
4.0,0.81019998,-0.5772,0.0335,-0.0961,-0.004,0.0,-0.001
4.0,0.81009996,-0.5772,0.0335,-0.0961,0.0,0.0,-0.005
4.0,0.81009996,-0.5772,0.0334,-0.0961,0.001,0.0,-0.004
4.0,0.81009996,-0.5772,0.0334,-0.0962,0.004,-0.002,-0.003
4.0,0.81009996,-0.5772,0.0334,-0.0963,0.005,-0.003,-0.001
4.0,0.81009996,-0.5772,0.0334,-0.0963,0.004,0.0,0.0
4.0,0.81009996,-0.5772,0.0334,-0.0964,0.0,0.003,0.004
4.0,0.81009996,-0.5772,0.0335,-0.0963,-0.004,0.004,0.0
4.0,0.81009996,-0.5772,0.0335,-0.0963,-0.001,0.001,-0.004
4.0,0.81009996,-0.5772,0.0335,-0.0962,0.001,0.0,-0.009
4.0,0.81019998,-0.57709998,0.0334,-0.0963,0.005,-0.004,-0.008
4.0,0.81019998,-0.57709998,0.0333,-0.0964,0.007,-0.002,-0.004
4.0,0.81009996,-0.5772,0.0331,-0.09649999,0.003,-0.001,0.0
4.0,0.81009996,-0.5772,0.033,-0.0966,0.002,0.0,0.003
4.0,0.81009996,-0.5772,0.0329,-0.0966,0.0,0.0,0.005
4.0,0.81009996,-0.57709998,0.0329,-0.0967,0.0,0.0,0.005
4.0,0.81019998,-0.57709998,0.0329,-0.0967,0.001,0.0,0.002
4.0,0.81019998,-0.57709998,0.033,-0.0967,0.0,0.0,-0.002
4.0,0.81009996,-0.57709998,0.033,-0.0968,-0.001,0.0,-0.005
4.0,0.81009996,-0.57709998,0.033,-0.0968,-0.002,0.0,-0.002
4.0,0.81009996,-0.57709998,0.0329,-0.0967,-0.007,0.001,0.0
4.0,0.81009996,-0.5772,0.0328,-0.09649999,-0.007,0.001,-0.003
4.0,0.81009996,-0.5772,0.0328,-0.09649999,-0.002,0.0,-0.005
4.0,0.81009996,-0.5772,0.0327,-0.0966,0.004,-0.001,-0.003
4.0,0.81009996,-0.5772,0.0327,-0.0967,0.007,0.0,0.001
4.0,0.81009996,-0.5772,0.0326,-0.0968,0.006,0.001,0.0
4.0,0.81009996,-0.5772,0.0326,-0.0968,0.002,0.0,-0.002
4.0,0.81009996,-0.5772,0.0326,-0.0969,-0.002,0.0,0.0
4.0,0.81009996,-0.5772,0.0326,-0.0969,-0.003,0.0,0.0
4.0,0.81009996,-0.5772,0.0327,-0.0969,0.001,0.0,0.0
4.0,0.81,-0.5772,0.0328,-0.0969,0.005,-0.002,0.0
4.0,0.81,-0.57730001,0.0328,-0.097,0.005,0.0,0.001
4.0,0.81,-0.57730001,0.0329,-0.097,0.005,0.001,-0.001
4.0,0.81,-0.57730001,0.033,-0.097,0.004,-0.002,-0.007
4.0,0.81,-0.57730001,0.033,-0.0971,0.006,-0.001,-0.007
4.0,0.81,-0.57730001,0.0331,-0.0971,0.003,-0.001,-0.002
4.0,0.81,-0.57730001,0.0331,-0.0971,0.0,-0.002,-0.003
4.0,0.80989999,-0.57730001,0.0332,-0.0972,0.003,0.0,-0.004
4.0,0.80989999,-0.57739997,0.0332,-0.0972,0.0,-0.001,-0.002
4.0,0.80989999,-0.57739997,0.0332,-0.0973,0.001,0.0,0.0
