Var1_1,Var1_2,Var1_3,Var1_4
0.000120591750854028,-0.000449878256461027,-0.000161400981463999,-0.000241875301291522
-8.80337697609507e-05,-0.000244770120044216,1.58399002238019e-05,-4.66319940057858e-05
-8.80337697609507e-05,-0.000244770120044216,1.58399002238019e-05,-4.66319940057858e-05
-9.72367052110845e-05,-6.46837625893557e-05,0.000193104015990264,-3.71114216166368e-05
-0.000106438805150065,-6.46837625893557e-05,-1.04087985630663e-06,-2.78835255937693e-05
-0.000106438805150065,0.000134279446051842,-1.04087985630663e-06,-3.71114216166368e-05
-0.000106438805150065,0.000134279446051842,-1.04087985630663e-06,-3.71114216166368e-05
9.29863793087266e-05,0.000121551183034606,-2.00867318013165e-05,0.000158119026582221
9.29863793087266e-05,0.000339337973294905,-2.00867318013165e-05,0.000158119026582221
0.000286056150711693,0.000339337973294905,-2.00867318013165e-05,0.000158119026582221
0.000286056150711693,0.00053828751632324,0.000157180381829214,0.000158119026582221
0.000494667719164857,0.00053828751632324,0.000193630899796238,0.000176884763559843
0.000501044197038711,0.00053828751632324,0.000354062252539533,0.000176884763559843
0.00070047698807367,0.000737240011023786,0.000550401302329862,0.000372105625380037
0.00070047698807367,0.000747422379459774,0.000550401302329862,0.000390869008287525
0.000694102255925214,0.000747422379459774,0.000550401302329862,0.000400064254389959
0.000902717011946906,0.000747422379459774,0.000569427832734171,0.000390869008287525
0.00110215617506694,0.000747422379459774,0.000729877500001863,0.000390869008287525
0.00110215617506694,0.000747422379459774,0.000748891055320056,0.000390869008287525
0.00110215617506694,0.000744914067696466,0.000926238420751901,0.000409629168205278
0.00110215617506694,0.000744914067696466,0.00090935459594077,0.000409629168205278
0.00130159820623014,0.000744914067696466,0.0011231240746532,0.000409629168205278
0.00129520963313948,0.00075511987191227,0.00110413643335633,0.000409629168205278
0.00128605448126489,0.00075511987191227,0.00128152020336791,0.000409629168205278
0.00148550225734723,0.00075511987191227,0.00126254138975646,0.000400451325217543
0.00148550225734723,0.00075511987191227,0.0014399317251752,0.000400451325217543
0.00168495287800075,0.00075511987191227,0.0014399317251752,0.000400451325217543
0.00188440633129772,0.00075511987191227,0.00142310400346241,0.000400451325217543
0.00208386260530979,0.00075511987191227,0.00142310400346241,0.000410064679380789
0.00208386260530979,0.000767793197002722,0.00142522248424803,0.000410064679380789
0.002292471105533,0.000767793197002722,0.00142522248424803,0.00041922787237092
