SensorId, TimeStamp (s), FrameNumber, QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g),rm0,rm1,rm2,rm3,rm4,rm5,rm6,rm7,rm8
4,0.0,0,-0.62889999,0.76699996,0.1231,0.0299,-0.007,0.002,0.0,0.21727189689345147,0.683275402913842,0.6970851071377498,0.6487100928066519,0.4325407372472918,-0.6261658934438654,-0.7293614592992327,0.5882543959839961,-0.34926870357133
4,0.01,1,-0.62889999,0.76699996,0.1232,0.0299,-0.004,0.0,0.002,0.21727189689345147,0.683275402913842,0.6970851071377498,0.6487100928066519,0.4325407372472918,-0.6261658934438654,-0.7293614592992327,0.5882543959839961,-0.34926870357133
4,0.02,2,-0.62900001,0.7669,0.12329999,0.0298,-0.003,-0.001,0.0,0.21734247899181314,0.6833196985768321,0.6970196814743183,0.6487575053784488,0.4324115586336428,-0.6262059910086737,-0.7292982558876887,0.5882979121983101,-0.34932738292650956
4,0.03,3,-0.62900001,0.7669,0.12329999,0.0297,-0.004,0.0,0.0,0.21734247899181314,0.6833196985768321,0.6970196814743183,0.6487575053784488,0.4324115586336428,-0.6262059910086737,-0.7292982558876887,0.5882979121983101,-0.34932738292650956
4,0.04,4,-0.62909997,0.76679999,0.1234,0.0296,-0.01,0.0,0.0,0.2174130172438995,0.6833639498971102,0.6969542968616547,0.6488048716712802,0.43228246026698536,-0.6262460483237684,-0.72923509133099,0.5883413860392126,-0.3493860258295124
4,0.05,5,-0.62909997,0.76679999,0.1234,0.0295,-0.015,0.002,-0.001,0.2174130172438995,0.6833639498971102,0.6969542968616547,0.6488048716712802,0.43228246026698536,-0.6262460483237684,-0.72923509133099,0.5883413860392126,-0.3493860258295124
4,0.06,6,-0.62919998,0.76679999,0.1234,0.0294,-0.019,0.005,0.0,0.21748358927043682,0.6834082055761788,0.6968888813499573,0.6488522438143831,0.432153300086683,-0.626286109474918,-0.7291718961226411,0.5883848653520384,-0.349444696811349
4,0.07,7,-0.62919998,0.76669997,0.1235,0.0292,-0.024,0.005,-0.002,0.21748358927043682,0.6834082055761788,0.6968888813499573,0.6488522438143831,0.432153300086683,-0.626286109474918,-0.7291718961226411,0.5883848653520384,-0.349444696811349
4,0.08,8,-0.62919998,0.76669997,0.1235,0.0291,-0.021,0.004,-0.003,0.21748358927043682,0.6834082055761788,0.6968888813499573,0.6488522438143831,0.432153300086683,-0.626286109474918,-0.7291718961226411,0.5883848653520384,-0.349444696811349
4,0.09,9,-0.62919998,0.76669997,0.1235,0.0289,-0.015,0.0,-0.002,0.21748358927043682,0.6834082055761788,0.6968888813499573,0.6488522438143831,0.432153300086683,-0.626286109474918,-0.7291718961226411,0.5883848653520384,-0.349444696811349
4,0.1,10,-0.62919998,0.76669997,0.1234,0.0288,-0.004,-0.005,-0.001,0.21748358927043682,0.6834082055761788,0.6968888813499573,0.6488522438143831,0.432153300086683,-0.626286109474918,-0.7291718961226411,0.5883848653520384,-0.349444696811349
4,0.11,11,-0.62919998,0.76669997,0.1234,0.0287,0.003,-0.005,0.0,0.21748358927043682,0.6834082055761788,0.6968888813499573,0.6488522438143831,0.432153300086683,-0.626286109474918,-0.7291718961226411,0.5883848653520384,-0.349444696811349
4,0.12,12,-0.62919998,0.76669997,0.12329999,0.0287,0.004,-0.002,0.001,0.21748358927043682,0.6834082055761788,0.6968888813499573,0.6488522438143831,0.432153300086683,-0.626286109474918,-0.7291718961226411,0.5883848653520384,-0.349444696811349
4,0.13,13,-0.6293,0.76669997,0.12329999,0.0286,0.005,-0.002,0.001,0.21755416684145262,0.6834524479004445,0.6968234611067652,0.6488996028475278,0.4320241297589347,-0.6263261584273448,-0.7291086955415096,0.5884283327346883,-0.3495033724026604
4,0.14,14,-0.6293,0.76669997,0.1232,0.0285,0.005,0.0,0.0,0.21755416684145262,0.6834524479004445,0.6968234611067652,0.6488996028475278,0.4320241297589347,-0.6263261584273448,-0.7291086955415096,0.5884283327346883,-0.3495033724026604
4,0.15,15,-0.6293,0.76669997,0.123,0.0285,0.007,0.003,0.0,0.21755416684145262,0.6834524479004445,0.6968234611067652,0.6488996028475278,0.4320241297589347,-0.6263261584273448,-0.7291086955415096,0.5884283327346883,-0.3495033724026604
4,0.16,16,-0.62939996,0.76669997,0.123,0.0284,0.004,0.006,-0.004,0.21762470056103667,0.6834966459227074,0.6967580819180554,0.6489469156421885,0.4318950396876151,-0.6263661671671954,-0.7290455338209052,0.5884717577808147,-0.3495620115375078
4,0.17,17,-0.62939996,0.76669997,0.12289999,0.0283,0.001,0.009,-0.004,0.21762470056103667,0.6834966459227074,0.6967580819180554,0.6489469156421885,0.4318950396876151,-0.6263661671671954,-0.7290455338209052,0.5884717577808147,-0.3495620115375078
4,0.18,18,-0.62939996,0.76659995,0.12289999,0.0282,-0.002,0.004,0.0,0.21762470056103667,0.6834966459227074,0.6967580819180554,0.6489469156421885,0.4318950396876151,-0.6263661671671954,-0.7290455338209052,0.5884717577808147,-0.3495620115375078
4,0.19,19,-0.62949997,0.76659995,0.123,0.0282,-0.002,0.0,0.0,0.21769526804493164,0.6835408482858195,0.6966926718399925,0.6489942342687319,0.4317658878212095,-0.6264061797267848,-0.7289823414574509,0.588515188282057,-0.3496206787427588
4,0.2,20,-0.62949997,0.76659995,0.123,0.0281,0.003,0.0,0.0,0.21769526804493164,0.6835408482858195,0.6966926718399925,0.6489942342687319,0.4317658878212095,-0.6264061797267848,-0.7289823414574509,0.588515188282057,-0.3496206787427588
