SensorId, TimeStamp (s), FrameNumber, QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g),rm0,rm1,rm2,rm3,rm4,rm5,rm6,rm7,rm8
1,-0.0,0,-0.0181,-0.73859996,0.0179,-0.67359996,0.0,0.003,0.015,0.09188536777599687,-0.05082619712,0.9943938270240033,-0.0020575600159999964,-0.9985336140480066,-0.050852197120000005,0.9956897870240032,0.0026224399840000037,-0.09170062182400342
1,0.01,1,-0.0182,-0.73869997,0.0179,-0.6735,0.001,0.008,-0.007,0.09188536777599687,-0.050960917112,0.9943902470240032,-0.0019228400239999985,-0.9985336140480066,-0.050999917112000005,0.9956933670240032,0.0027701599760000042,-0.09170062182400342
1,0.02,2,-0.018,-0.73890001,0.0181,-0.67329997,0.001,0.004,-0.002,0.09188536777599687,-0.050691477128,0.9943974070240033,-0.0021922800080000013,-0.9985336140480066,-0.050704477128,0.9956862070240032,0.0024747199919999997,-0.09170062182400342
1,0.03,3,-0.018,-0.73899996,0.0182,-0.67309999,0.002,-0.004,0.017,0.09188536777599687,-0.050691477128,0.9943974070240033,-0.0021922800080000013,-0.9985336140480066,-0.050704477128,0.9956862070240032,0.0024747199919999997,-0.09170062182400342
1,0.04,4,-0.0183,-0.73899996,0.018,-0.67309999,-0.003,0.0,0.011,0.09188536777599687,-0.051095637104,0.9943866670240032,-0.0017881200320000006,-0.9985336140480066,-0.051147637104,0.9956969470240032,0.0029178799680000013,-0.09170062182400342
1,0.05,5,-0.0185,-0.7392,0.0178,-0.67289996,-0.007,0.008,-0.003,0.09188536777599687,-0.051365077088,0.9943795070240032,-0.0015186800480000012,-0.9985336140480066,-0.051443077088,0.9957041070240032,0.003213319951999999,-0.09170062182400342
1,0.06,6,-0.0184,-0.73949999,0.018,-0.67259997,-0.005,0.004,0.007,0.09188536777599687,-0.051230357096000004,0.9943830870240032,-0.0016534000399999992,-0.9985336140480066,-0.051295357096,0.9957005270240032,0.003065599960000002,-0.09170062182400342
1,0.07,7,-0.0183,-0.73969996,0.0181,-0.6724,0.0,-0.001,0.027,0.09188536777599687,-0.051095637104,0.9943866670240032,-0.0017881200320000006,-0.9985336140480066,-0.051147637104,0.9956969470240032,0.0029178799680000013,-0.09170062182400342
1,0.08,8,-0.0185,-0.73989999,0.018,-0.67219996,0.001,0.003,0.02,0.09188536777599687,-0.051365077088,0.9943795070240032,-0.0015186800480000012,-0.9985336140480066,-0.051443077088,0.9957041070240032,0.003213319951999999,-0.09170062182400342
1,0.09,9,-0.0186,-0.74009997,0.0179,-0.67179996,0.006,0.008,-0.001,0.09188536777599687,-0.05149979707999999,0.9943759270240032,-0.0013839600560000033,-0.9985336140480066,-0.05159079708,0.9957076870240033,0.0033610399439999994,-0.09170062182400342
1,0.1,10,-0.0184,-0.74039996,0.0181,-0.67159998,0.013,0.007,0.0,0.09188536777599687,-0.051230357096000004,0.9943830870240032,-0.0016534000399999992,-0.9985336140480066,-0.051295357096,0.9957005270240032,0.003065599960000002,-0.09170062182400342
1,0.11,11,-0.0183,-0.74049997,0.0182,-0.67149997,0.007,0.001,0.005,0.09188536777599687,-0.051095637104,0.9943866670240032,-0.0017881200320000006,-0.9985336140480066,-0.051147637104,0.9956969470240032,0.0029178799680000013,-0.09170062182400342
1,0.12,12,-0.0183,-0.74059999,0.0182,-0.67129999,-0.003,0.0,-0.002,0.09188536777599687,-0.051095637104,0.9943866670240032,-0.0017881200320000006,-0.9985336140480066,-0.051147637104,0.9956969470240032,0.0029178799680000013,-0.09170062182400342
1,0.13,13,-0.0183,-0.74089998,0.0182,-0.671,-0.003,0.001,-0.009,0.09188536777599687,-0.051095637104,0.9943866670240032,-0.0017881200320000006,-0.9985336140480066,-0.051147637104,0.9956969470240032,0.0029178799680000013,-0.09170062182400342
1,0.14,14,-0.0182,-0.74119997,0.0183,-0.67069995,0.0,0.0,0.0,0.09188536777599687,-0.050960917112,0.9943902470240032,-0.0019228400239999985,-0.9985336140480066,-0.050999917112000005,0.9956933670240032,0.0027701599760000042,-0.09170062182400342
1,0.15,15,-0.0182,-0.7414,0.0183,-0.67049998,0.0,0.0,0.005,0.09188536777599687,-0.050960917112,0.9943902470240032,-0.0019228400239999985,-0.9985336140480066,-0.050999917112000005,0.9956933670240032,0.0027701599760000042,-0.09170062182400342
1,0.16,16,-0.0182,-0.74159998,0.0183,-0.67030001,-0.002,0.003,-0.003,0.09188536777599687,-0.050960917112,0.9943902470240032,-0.0019228400239999985,-0.9985336140480066,-0.050999917112000005,0.9956933670240032,0.0027701599760000042,-0.09170062182400342
1,0.17,17,-0.0181,-0.74180001,0.0183,-0.66999996,0.002,0.004,-0.011,0.09188536777599687,-0.05082619712,0.9943938270240033,-0.0020575600159999964,-0.9985336140480066,-0.050852197120000005,0.9956897870240032,0.0026224399840000037,-0.09170062182400342
1,0.18,18,-0.0181,-0.74199998,0.0184,-0.66979998,0.004,0.0,-0.006,0.09188536777599687,-0.05082619712,0.9943938270240033,-0.0020575600159999964,-0.9985336140480066,-0.050852197120000005,0.9956897870240032,0.0026224399840000037,-0.09170062182400342
1,0.19,19,-0.018,-0.7421,0.0185,-0.66969997,0.0,0.0,-0.004,0.09188536777599687,-0.050691477128,0.9943974070240033,-0.0021922800080000013,-0.9985336140480066,-0.050704477128,0.9956862070240032,0.0024747199919999997,-0.09170062182400342
