,loss,accuracy,binary_accuracy,categorical_accuracy,val_loss,val_accuracy,val_binary_accuracy,val_categorical_accuracy
0,0.3962859511375427,0.8753721714019775,0.5,1.0,0.39890265464782715,0.863095223903656,0.5,1.0
1,0.3764670789241791,0.8753721714019775,0.5,1.0,0.4052934944629669,0.863095223903656,0.5,1.0
2,0.3769708275794983,0.8753721714019775,0.5,1.0,0.3993072807788849,0.863095223903656,0.5,1.0
3,0.3771808445453644,0.8753721714019775,0.5,1.0,0.39818134903907776,0.863095223903656,0.5,1.0
4,0.3755483627319336,0.8753721714019775,0.5,1.0,0.39615586400032043,0.863095223903656,0.5,1.0
5,0.3825540840625763,0.8753721714019775,0.5,1.0,0.39886075258255005,0.863095223903656,0.5,1.0
6,0.3764721751213074,0.8753721714019775,0.5,1.0,0.3994003236293793,0.863095223903656,0.5,1.0
7,0.37564268708229065,0.8753721714019775,0.5,1.0,0.40703871846199036,0.863095223903656,0.5,1.0
8,0.37466731667518616,0.8753721714019775,0.5,1.0,0.39614176750183105,0.863095223903656,0.5,1.0
9,0.36226898431777954,0.8753721714019775,0.5,1.0,0.3304288983345032,0.863095223903656,0.5,1.0
10,0.2610931992530823,0.8851552605628967,0.5,0.9493832588195801,0.20049914717674255,0.8839285969734192,0.5,0.8819444179534912
11,0.26871252059936523,0.8668651580810547,0.5,0.9302424788475037,0.2301558405160904,0.863095223903656,0.5,1.0
12,0.23190189898014069,0.8770735859870911,0.5,0.9174818992614746,0.20548558235168457,0.8859127163887024,0.5,0.870039701461792
13,0.2184506207704544,0.8817524313926697,0.5,0.9298170804977417,0.20194783806800842,0.8789682388305664,0.5,0.976190447807312
14,0.23106224834918976,0.8779242634773254,0.5,0.8613355755805969,0.20838706195354462,0.863095223903656,0.5,1.0
15,0.2102721482515335,0.8813270926475525,0.5,0.9523606896400452,0.20609015226364136,0.9126983880996704,0.5,0.8154761791229248
16,0.19518601894378662,0.9013186097145081,0.5,0.8558060526847839,0.19606104493141174,0.908730149269104,0.5,0.8234127163887024
17,0.2166903167963028,0.8762229084968567,0.5,0.8749468326568604,0.20357106626033783,0.8789682388305664,0.5,0.9047619104385376
18,0.1932055652141571,0.8898341059684753,0.5,0.894512951374054,0.20835961401462555,0.8859127163887024,0.5,0.8878968358039856
19,0.2106178253889084,0.8821777701377869,0.5,0.8613355755805969,0.19926124811172485,0.8779761791229248,0.5,0.9196428656578064
20,0.1948697715997696,0.8932369351387024,0.5,0.8783496618270874,0.19160206615924835,0.898809552192688,0.5,0.841269850730896
21,0.19796490669250488,0.8953636884689331,0.5,0.8455976247787476,0.1910722255706787,0.9097222089767456,0.5,0.8224206566810608
22,0.19631969928741455,0.8932369351387024,0.5,0.8604848980903625,0.19277983903884888,0.8898809552192688,0.5,0.8640872836112976
23,0.20408448576927185,0.883028507232666,0.5,0.858783483505249,0.19607283174991608,0.879960298538208,0.5,0.8958333134651184
