datanew_1,datanew_2,datanew_3,datanew_4
-0.01794069965,-0.04132311817,-0.346679842870001,0.200330177934
-0.01790301965,-0.04152255816,-0.346467962880001,0.200316457934
-0.01789429965,-0.04152255816,-0.346467962880001,0.200316457934
-0.017847860524,-0.04152255816,-0.346407642882,0.200323117934
-0.017847860524,-0.04152255816,-0.346216142034,0.200316457934
-0.017835619824,-0.04172199815,-0.34623184,0.200316457934
-0.01763071983,-0.04171039815,-0.34621152,0.200323117934
-0.01762197983,-0.04172199815,-0.34621152,0.200323117934
-0.017425819836,-0.04173031815,-0.34623576001,0.200124777936
-0.017417078962,-0.04192975814,-0.346064562054,0.200118117936
-0.017212178968,-0.04192975814,-0.346048905656,0.200118117936
-0.017212178968,-0.04194137814,-0.346048905656,0.200104397936
-0.017203438968,-0.04194137814,-0.346033282058,0.200104397936
-0.017199998624,-0.04195299814,-0.346033282058,0.200104397936
-0.017153398624,-0.04195299814,-0.346053662058,0.199906038104
-0.017153398624,-0.04195299814,-0.34607404002,0.199906038104
-0.017153398624,-0.04195299814,-0.34609442002,0.199899358104
-0.016957258632,-0.04194137814,-0.346154768012,0.199899358104
-0.016957258632,-0.04176191815,-0.3462110316,0.199899358104
-0.016957258632,-0.04176191815,-0.346231391598,0.199878918774
-0.016957258632,-0.04155411816,-0.346195528012,0.199872218104
-0.017162158624,-0.04155411816,-0.346195528012,0.19967389794
-0.017127758968,-0.04155411816,-0.346366708006,0.199694358608
-0.017332698962,-0.04155411816,-0.346366708006,0.199694358608
-0.017341478962,-0.04156573816,-0.34630634001,0.199489337942
-0.017546419834,-0.04176517815,-0.346513404438001,0.199489337942
-0.017546419834,-0.04176517815,-0.346513404438001,0.199489337942
-0.017742579828,-0.04175679815,-0.346513404438001,0.199489337942
-0.017751359828,-0.04175679815,-0.346513404438001,0.199290997944
-0.017751359828,-0.04176839815,-0.346704944428001,0.199290997944
-0.01771359983,-0.04176839815,-0.346725304426001,0.199284317944
-0.017517439836,-0.04176839815,-0.346709780836001,0.199284317944
-0.017517439836,-0.04157213816,-0.346709780836001,0.199298117944
-0.017526239836,-0.04157213816,-0.346806052424001,0.199298117944
-0.017526239836,-0.04157213816,-0.346826414458,0.199298117944
-0.017526239836,-0.04158371816,-0.346846774456,0.199298117944
-0.017338879842,-0.04158371816,-0.347074150866001,0.199093117946
-0.017535039836,-0.04159529816,-0.347074150866001,0.199093117946
-0.017563979834,-0.04159529816,-0.347109970864001,0.199093117946
-0.017956299822,-0.04158683816,-0.347145790862001,0.199086457946
-0.018310879812,-0.04158683816,-0.347145790862001,0.199086457946
-0.018507039806,-0.04159839816,-0.347337350856001,0.199079797946
-0.0187119998,-0.04159839816,-0.347337350856001,0.199079797946
-0.0187119998,-0.04178935815,-0.347352890854001,0.198881457948
-0.01872439964,-0.04178935815,-0.347544450848001,0.198881457948
-0.01873319964,-0.04178935815,-0.347508610850001,0.198881457948
-0.01873319964,-0.04178935815,-0.347508610850001,0.198895317948
-0.018545819642,-0.04178935815,-0.347468522836001,0.19869697795
-0.018583479642,-0.04178935815,-0.34766008198,0.19869697795
-0.018583479642,-0.04178935815,-0.34763977995,0.19869697795
-0.018583479642,-0.04177781815,-0.34763977995,0.19869697795
-0.018583479642,-0.04157837816,-0.34761947995,0.19869697795
-0.018583479642,-0.04156683816,-0.34782661994,0.19871083795
-0.018396079644,-0.04155839816,-0.34776624,0.19871083795
-0.018433719644,-0.04154687816,-0.34774596,0.19871745795
-0.018433719644,-0.04153535816,-0.347725682028,0.19871745795
-0.018237539646,-0.04133591817,-0.34766942203,0.19872407795
-0.018237539646,-0.04132439817,-0.347608994006,0.19873789795
-0.018471359644,-0.04131287817,-0.347588694006,0.19874449795
-0.018471359644,-0.04129301817,-0.347759891972,0.19874449795
-0.018658799642,-0.041285178902,-0.347739591972,0.19875109795
-0.018658799642,-0.041285178902,-0.347683211972,0.19875109795
-0.01884623964,-0.041273678902,-0.347622743944,0.198771458608
-0.019033679638,-0.041074218908,-0.347602423944,0.198771458608
-0.019024940512,-0.041074218908,-0.347435291976,0.198976377948
-0.01924647978,-0.041062718908,-0.347455631976,0.198976377948
-0.01922903978,-0.040863258914,-0.34726413198,0.198976377948
-0.019220318908,-0.040871538914,-0.34726413198,0.198982957948
-0.019199238544,-0.040871538914,-0.34726413198,0.198982957948
-0.019190518544,-0.040891358914,-0.34732053198,0.198982957948
-0.019181798544,-0.04091081819,-0.34732053198,0.198996677948
-0.019360499408,-0.04094543819,-0.347129012834,0.198996677948
-0.019348120872,-0.04096851819,-0.347144772834,0.198996677948
-0.019535520872,-0.04099159819,-0.346912672838,0.198996677948
-0.01968494,-0.04100313819,-0.346892374868,0.19902374974
-0.01987232,-0.04101163819,-0.346660274872,0.19902374974
-0.02006844,-0.04102319819,-0.346579624836001,0.19902374974
-0.02026456,-0.04123419818,-0.346539024836001,0.19903030974
-0.02026456,-0.04122565818,-0.346422080834001,0.19903030974
-0.02042268,-0.04122263818,-0.346189982876001,0.19903686974
-0.02043144,-0.04122263818,-0.345957882886001,0.19922156973
-0.020402240878,-0.04121107818,-0.34574612001,0.19902320974
-0.02036428088,-0.04121107818,-0.34549792002,0.19904342974
-0.02037308088,-0.04139895817,-0.34528612003,0.19904342974
-0.02037308088,-0.04138739817,-0.34507432004,0.19904998974
-0.02038188088,-0.04137583817,-0.345053982074,0.19903636974
-0.020419800878,-0.04156371816,-0.344805666590001,0.19904294974
-0.020457720876,-0.04155215816,-0.344745422554,0.19904294974
-0.020290780874,-0.04155215816,-0.344668138904,0.19904952974
-0.020282040874,-0.04154059816,-0.344647756866,0.19904952974
-0.0202733,-0.04154059816,-0.344530468888001,0.19925446973
-0.02025582,-0.04153739816,-0.344510068888001,0.19924090973
-0.020234580122,-0.04153739816,-0.344453010930001,0.19944586972
-0.020217100122,-0.04172525815,-0.344453010930001,0.19944586972
-0.019991038878,-0.04172525815,-0.344261590936001,0.19964422971
-0.020011758878,-0.04171367815,-0.344261590936001,0.19965082971
-0.019952339004,-0.04191311814,-0.34413045687,0.19965082971
-0.019934859004,-0.04190153814,-0.343922820534,0.19965082971
